1,2023-02-20 22:33:55.430652+00:00,Same order as the last one

1,2023-02-20 22:43:26.291732+00:00,"{'symbol': 'BTCUSDT', 'orderId': 18954711370, 'orderListId': -1, 'clientOrderId': 'Qv9THlDHO9fplV9aPbhwCX', 'transactTime': 1676932821693, 'price': '0.00000000', 'origQty': '0.00060000', 'executedQty': '0.00060000', 'cummulativeQuoteQty': '14.82513000', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'BUY', 'workingTime': 1676932821693, 'fills': [{'price': '24708.55000000', 'qty': '0.00060000', 'commission': '0.00000000', 'commissionAsset': 'BTC', 'tradeId': 2756120273}], 'selfTradePreventionMode': 'NONE'}"

1,2023-02-20 22:49:22.974935+00:00,Same order as the last one
1,2023-02-20 22:51:09.393639+00:00,Same order as the last one
1,2023-02-20 22:53:05.889488+00:00,Same order as the last one
1,2023-02-20 22:53:59.690848+00:00,Same order as the last one
1,2023-02-20 22:55:04.537549+00:00,Same order as the last one
1,2023-02-20 23:01:24.867368+00:00,Same order as the last one
-1,2023-02-21 00:01:52.206969+00:00,"{'symbol': 'BTCUSDT', 'orderId': 18956800779, 'orderListId': -1, 'clientOrderId': 'li5jcy44br3QC2nSu8vJ4t', 'transactTime': 1676937712084, 'price': '0.00000000', 'origQty': '0.00060000', 'executedQty': '0.00060000', 'cummulativeQuoteQty': '14.89662000', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'workingTime': 1676937712084, 'fills': [{'price': '24827.70000000', 'qty': '0.00060000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2756465019}], 'selfTradePreventionMode': 'NONE'}"
-1,2023-02-21 01:01:32.583703+00:00,Same order as the last one
-1,2023-02-21 02:01:16.674741+00:00,Same order as the last one
-1,2023-02-21 03:01:53.808577+00:00,Same order as the last one
-1,2023-02-21 04:01:23.235642+00:00,Same order as the last one
1,2023-02-21 05:01:30.566894+00:00,"{'symbol': 'BTCUSDT', 'orderId': 18967184073, 'orderListId': -1, 'clientOrderId': 'wzQBJdI4J1Wn9hW5fCXA24', 'transactTime': 1676955690439, 'price': '0.00000000', 'origQty': '0.00060000', 'executedQty': '0.00060000', 'cummulativeQuoteQty': '14.93486400', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'BUY', 'workingTime': 1676955690439, 'fills': [{'price': '24891.44000000', 'qty': '0.00060000', 'commission': '0.00000000', 'commissionAsset': 'BTC', 'tradeId': 2758153648}], 'selfTradePreventionMode': 'NONE'}"
-1,2023-02-21 06:01:53.267724+00:00,"{'symbol': 'BTCUSDT', 'orderId': 18968895235, 'orderListId': -1, 'clientOrderId': 'DL53k5rfgQFGjtJMVYjJnd', 'transactTime': 1676959313144, 'price': '0.00000000', 'origQty': '0.00060000', 'executedQty': '0.00060000', 'cummulativeQuoteQty': '14.97649200', 'status': 'FILLED', 'timeInForce': 'GTC', 'type': 'MARKET', 'side': 'SELL', 'workingTime': 1676959313144, 'fills': [{'price': '24960.82000000', 'qty': '0.00060000', 'commission': '0.00000000', 'commissionAsset': 'USDT', 'tradeId': 2758409786}], 'selfTradePreventionMode': 'NONE'}"
-1,2023-02-21 07:01:24.948965+00:00,Same order as the last one
-1,2023-02-21 08:01:33.626801+00:00,Same order as the last one
